	num_hpo_annotation	num_patient	num_disease
Entrez:6654	82	22	2.0
Entrez:5053	82	6	1.0
Entrez:54332	81	3	4.0
Entrez:6786	81	1	3.0
Entrez:3248	81	2	2.0
Entrez:478	81	6	3.0
Entrez:23064	81	2	2.0
Entrez:8726	81	1	1.0
Entrez:57096	80	2	2.0
Entrez:2956	80	2	3.0
Entrez:2776	80	1	2.0
Entrez:22880	80	1	1.0
Entrez:5718	80	3	1.0
Entrez:875	80	1	1.0
Entrez:80704	80	3	1.0
Entrez:83696	80	2	1.0
Entrez:57704	79	2	1.0
Entrez:6857	79	1	1.0
Entrez:23314	79	7	1.0
Entrez:1785	79	2	3.0
Entrez:79868	79	2	1.0
Entrez:203859	79	5	3.0
Entrez:1822	79	1	2.0
Entrez:26053	79	2	1.0
Entrez:7204	79	6	1.0
Entrez:6016	78	55	1.0
Entrez:3908	78	6	2.0
Entrez:57526	78	2	1.0
Entrez:2903	78	3	1.0
Entrez:2554	78	3	1.0
Entrez:51119	78	1	2.0
Entrez:10939	78	1	2.0
Entrez:1080	78	3	4.0
Entrez:11285	77	1	1.0
Entrez:9820	77	7	1.0
Entrez:93210	77	27	1.0
Entrez:5831	77	15	2.0
Entrez:127833	77	1	1.0
Entrez:79621	77	2	1.0
Entrez:10516	77	1	3.0
Entrez:5528	76	3	1.0
Entrez:3561	76	2	2.0
Entrez:472	76	30	2.0
Entrez:2521	76	1	2.0
Entrez:9949	76	2	1.0
Entrez:27315	76	10	1.0
Entrez:10479	76	5	1.0
Entrez:120892	76	2	1.0
Entrez:1406	76	2	3.0
Entrez:695	76	1	2.0
Entrez:79751	75	1	1.0
Entrez:6601	75	1	1.0
Entrez:80326	75	2	3.0
Entrez:3708	75	5	3.0
Entrez:2705	75	4	1.0
Entrez:64132	75	1	2.0
Entrez:182	74	15	2.0
Entrez:8792	74	1	3.0
Entrez:4556	74	1	
Entrez:4915	74	1	2.0
Entrez:6785	74	1	3.0
Entrez:203068	74	2	2.0
Entrez:1027	74	1	1.0
Entrez:7507	74	2	1.0
Entrez:123016	73	1	2.0
Entrez:582	73	3	1.0
Entrez:1161	73	4	2.0
Entrez:348	73	2	5.0
Entrez:113278	73	1	2.0
Entrez:641	73	82	1.0
Entrez:5530	73	2	2.0
Entrez:285489	73	1	1.0
Entrez:9829	73	1	1.0
Entrez:10273	73	1	2.0
Entrez:9420	73	1	2.0
Entrez:55777	73	2	1.0
Entrez:1910	72	2	3.0
Entrez:1908	72	1	3.0
Entrez:249	72	3	3.0
Entrez:341640	72	1	2.0
Entrez:57459	72	9	1.0
Entrez:4322	72	1	2.0
Entrez:54496	72	3	1.0
Entrez:79876	71	2	2.0
Entrez:1759	71	3	1.0
Entrez:10059	71	2	2.0
Entrez:23363	71	4	1.0
Entrez:7051	71	3	1.0
Entrez:84100	71	1	3.0
Entrez:55644	71	1	1.0
Entrez:8242	70	5	1.0
Entrez:8216	70	3	2.0
Entrez:6659	70	1	1.0
Entrez:583	70	2	2.0
Entrez:2186	70	11	1.0
Entrez:5449	69	1	1.0
Entrez:23418	69	4	3.0
Entrez:6927	69	1	6.0
Entrez:2990	69	1	1.0
Entrez:3914	69	1	3.0
Entrez:286	69	1	1.0
Entrez:2517	69	1	1.0
Entrez:9499	69	3	2.0
Entrez:6535	69	1	1.0
Entrez:1917	69	4	2.0
Entrez:55210	68	2	1.0
Entrez:56975	68	2	1.0
Entrez:5913	68	1	1.0
Entrez:7486	68	1	1.0
Entrez:1896	68	6	2.0
Entrez:999	68	28	6.0
Entrez:80816	68	12	1.0
Entrez:9839	68	26	1.0
Entrez:26278	68	4	1.0
Entrez:24	68	32	4.0
Entrez:116150	68	1	2.0
Entrez:5354	68	1	2.0
Entrez:2643	68	4	2.0
Entrez:10717	68	2	1.0
Entrez:51204	68	1	1.0
Entrez:94	67	1	1.0
Entrez:84295	67	5	1.0
Entrez:6658	67	1	2.0
Entrez:2892	67	2	1.0
Entrez:1028	67	3	2.0
Entrez:5395	67	4	2.0
Entrez:26154	67	2	2.0
Entrez:5648	67	8	1.0
Entrez:23426	67	1	1.0
Entrez:80055	67	2	1.0
Entrez:3798	67	6	3.0
Entrez:23065	67	1	1.0
Entrez:6010	66	2	3.0
Entrez:50943	66	3	1.0
Entrez:540	66	2	1.0
Entrez:7994	66	6	1.0
Entrez:7299	66	9	3.0
Entrez:8842	66	1	4.0
Entrez:7287	66	1	2.0
Entrez:54968	66	1	1.0
Entrez:5351	66	4	1.0
Entrez:57531	66	1	1.0
Entrez:5518	66	2	1.0
Entrez:51082	66	1	1.0
Entrez:55835	65	6	2.0
Entrez:7703	65	1	1.0
Entrez:3575	65	1	1.0
