	num_hpo_annotation	num_disease	num_patient
Entrez:11330	46	1.0	1
Entrez:124512	46	1.0	1
Entrez:7140	46	1.0	1
Entrez:54809	46	2.0	1
Entrez:137682	46	1.0	1
Entrez:1778	46	3.0	12
Entrez:54919	46	1.0	1
Entrez:142680	45	1.0	1
Entrez:8558	45	1.0	1
Entrez:51305	45	1.0	2
Entrez:8425	45	1.0	1
Entrez:339829	45	1.0	1
Entrez:11200	45	4.0	30
Entrez:28976	45	1.0	1
Entrez:55033	45	1.0	1
Entrez:55163	45	1.0	1
Entrez:10749	45	1.0	2
Entrez:8942	45	2.0	2
Entrez:54714	45	2.0	6
Entrez:6606	45	4.0	3
Entrez:6697	45	1.0	1
Entrez:51574	45	1.0	1
Entrez:145226	44	1.0	1
Entrez:3192	44	1.0	2
Entrez:6942	44	1.0	12
Entrez:80781	44	1.0	3
Entrez:1806	44	1.0	1
Entrez:6683	44	1.0	30
Entrez:26235	44	1.0	1
Entrez:3674	44	2.0	3
Entrez:4208	44	1.0	4
Entrez:825	44	2.0	16
Entrez:3690	44	2.0	4
Entrez:9581	44	1.0	1
Entrez:38	44	1.0	1
Entrez:388389	43	1.0	1
Entrez:56172	43	2.0	1
Entrez:112939	43	1.0	2
Entrez:1654	43	1.0	15
Entrez:79087	43	1.0	1
Entrez:3423	43	1.0	8
Entrez:3507	43	1.0	1
Entrez:54768	43	1.0	1
Entrez:2782	43	2.0	12
Entrez:10195	43	1.0	1
Entrez:1906	43	2.0	1
Entrez:2902	43	2.0	2
Entrez:23090	42	1.0	1
Entrez:6608	42	2.0	1
Entrez:50846	42	2.0	3
Entrez:1892	42	1.0	2
Entrez:50939	42	2.0	2
Entrez:3508	41	2.0	6
Entrez:5251	41	1.0	1
Entrez:55129	41	1.0	4
Entrez:23512	41		1
Entrez:80347	41	2.0	1
Entrez:411	41	1.0	2
Entrez:2294	41	1.0	1
Entrez:5949	41	2.0	1
Entrez:6866	41	1.0	2
Entrez:56776	41	1.0	1
Entrez:85478	41	1.0	1
Entrez:7915	41	1.0	1
Entrez:56997	40	1.0	3
Entrez:2147	40	4.0	1
Entrez:389856	40	1.0	1
Entrez:91179	40	1.0	1
Entrez:51185	40	1.0	1
Entrez:760	40	1.0	1
Entrez:6901	40	1.0	1
Entrez:3872	40	2.0	1
Entrez:29926	40	1.0	1
Entrez:284217	40	1.0	1
Entrez:23162	39	1.0	1
Entrez:1770	39	1.0	1
Entrez:10716	39	1.0	10
Entrez:51422	39	3.0	1
Entrez:56006	39	1.0	3
Entrez:6531	39	1.0	1
Entrez:1285	39	3.0	3
Entrez:2259	39	1.0	1
Entrez:477	38	2.0	1
Entrez:11011	38	1.0	2
Entrez:8701	38	1.0	1
Entrez:331	38	2.0	1
Entrez:3141	38	1.0	1
Entrez:3315	38	2.0	5
Entrez:51322	38	1.0	4
Entrez:92609	38	1.0	2
Entrez:5158	37	2.0	1
Entrez:9772	37	1.0	1
Entrez:26121	37	1.0	4
Entrez:100506658	37	1.0	2
Entrez:284403	37	1.0	3
Entrez:23203	37	1.0	1
Entrez:6575	37	1.0	2
